domain,category,evidence,source,risk_score,first_seen,last_seen,geo,notes
eawpuejf.xyz,spam,Community report,community,,2025-09-13,,,
lyrjhoku.xyz,spam,Community report,community,,2025-09-13,,,
ixbawygc.xyz,spam,Community report,community,,2025-09-13,,,
upsgvori.xyz,spam,Community report,community,,2025-09-13,,,
dzwudzxv.xyz,spam,Community report,community,,2025-09-13,,,
hdcokkjz.xyz,spam,Community report,community,,2025-09-13,,,
xrtzwtfy.xyz,spam,Community report,community,,2025-09-13,,,
nzeasgmd.xyz,spam,Community report,community,,2025-09-13,,,
xglfyjdw.xyz,spam,Community report,community,,2025-09-13,,,
wlzkxbgt.xyz,spam,Community report,community,,2025-09-13,,,
jeweskql.xyz,spam,Community report,community,,2025-09-13,,,
zkznxfxj.xyz,spam,Community report,community,,2025-09-13,,,
vupcddex.xyz,spam,Community report,community,,2025-09-13,,,
cxmetwne.xyz,spam,Community report,community,,2025-09-13,,,
mqdktplu.xyz,spam,Community report,community,,2025-09-13,,,
ditywanp.xyz,spam,Community report,community,,2025-09-13,,,
jwdsrmnq.xyz,spam,Community report,community,,2025-09-13,,,
tlwxqbzl.xyz,spam,Community report,community,,2025-09-13,,,
tgkuzffb.xyz,spam,Community report,community,,2025-09-13,,,
zdvenpnv.xyz,spam,Community report,community,,2025-09-13,,,
gmquubnj.xyz,spam,Community report,community,,2025-09-13,,,
qpzfhrph.xyz,spam,Community report,community,,2025-09-13,,,
zqwtvtvw.xyz,spam,Community report,community,,2025-09-13,,,
zqsxjgyt.xyz,spam,Community report,community,,2025-09-13,,,
wpnusemk.xyz,spam,Community report,community,,2025-09-13,,,
dfnvwsxx.xyz,spam,Community report,community,,2025-09-13,,,
adult-webcam.xyz,spam,Community report,community,,2025-09-13,,,
bbk110.xyz,spam,Community report,community,,2025-09-13,,,
problemasdeereccion24.xyz,spam,Community report,community,,2025-09-13,,,
gevezex.xyz,spam,Community report,community,,2025-09-13,,,
jokerslotxovip.xyz,spam,Community report,community,,2025-09-13,,,
xopgth.xyz,spam,Community report,community,,2025-09-13,,,
pgslot-autos.xyz,spam,Community report,community,,2025-09-13,,,
kingdom66.xyz,spam,Community report,community,,2025-09-13,,,
ghananews.xyz,spam,Community report,community,,2025-09-13,,,
pgslot3579.xyz,spam,Community report,community,,2025-09-13,,,
thefappeningnude.xyz,spam,Community report,community,,2025-09-13,,,
daftar-poker88.xyz,spam,Community report,community,,2025-09-13,,,
startcrack.xyz,spam,Community report,community,,2025-09-13,,,
tesco123.xyz,spam,Community report,community,,2025-09-13,,,
slotxo-xo.xyz,spam,Community report,community,,2025-09-13,,,
bitcoins-game.xyz,spam,Community report,community,,2025-09-13,,,
appservice6.xyz,spam,Community report,community,,2025-09-13,,,
gunlukhaberler.xyz,spam,Community report,community,,2025-09-13,,,
rambutan888.xyz,spam,Community report,community,,2025-09-13,,,
nuceciwan111.xyz,spam,Community report,community,,2025-09-13,,,
alphapetersolutions.xyz,spam,Community report,community,,2025-09-13,,,
tenancyland.xyz,spam,Community report,community,,2025-09-13,,,
pomegranate888.xyz,spam,Community report,community,,2025-09-13,,,
mbc2.xyz,spam,Community report,community,,2025-09-13,,,
recetasdecocinaperuana.xyz,spam,Community report,community,,2025-09-13,,,
technologymall.xyz,spam,Community report,community,,2025-09-13,,,
daftaryupitoto.xyz,spam,Community report,community,,2025-09-13,,,
dcmovie.xyz,spam,Community report,community,,2025-09-13,,,
puncakpkr.xyz,spam,Community report,community,,2025-09-13,,,
oubsport.xyz,spam,Community report,community,,2025-09-13,,,
chaffinch888.xyz,spam,Community report,community,,2025-09-13,,,
tokyocareers.xyz,spam,Community report,community,,2025-09-13,,,
freedomwiki.xyz,spam,Community report,community,,2025-09-13,,,
54-38-219-102.xyz,spam,Community report,community,,2025-09-13,,,
nigerianwiki.xyz,spam,Community report,community,,2025-09-13,,,
dosugnu.xyz,spam,Community report,community,,2025-09-13,,,
angkakeramatjitu.xyz,spam,Community report,community,,2025-09-13,,,
tpietz.xyz,spam,Community report,community,,2025-09-13,,,
djrimonbabu.xyz,spam,Community report,community,,2025-09-13,,,
songwah.xyz,spam,Community report,community,,2025-09-13,,,
54-36-174-160.xyz,spam,Community report,community,,2025-09-13,,,
xxx-sikis-turkiye.xyz,spam,Community report,community,,2025-09-13,,,
comuatraf.xyz,spam,Community report,community,,2025-09-13,,,
erotikdating24.xyz,spam,Community report,community,,2025-09-13,,,
fun8880.xyz,spam,Community report,community,,2025-09-13,,,
busankranma.xyz,spam,Community report,community,,2025-09-13,,,
hvyuehzt.xyz,spam,Community report,community,,2025-09-13,,,
51-77-53-106.xyz,spam,Community report,community,,2025-09-13,,,
revelationkranma.xyz,spam,Community report,community,,2025-09-13,,,
jerryroom.xyz,spam,Community report,community,,2025-09-13,,,
megadownloader.xyz,spam,Community report,community,,2025-09-13,,,
newtiqtg.xyz,spam,Community report,community,,2025-09-13,,,
15maw.xyz,spam,Community report,community,,2025-09-13,,,
goooo3.xyz,spam,Community report,community,,2025-09-13,,,
lzhomfuj.xyz,spam,Community report,community,,2025-09-13,,,
thedogfoods.xyz,spam,Community report,community,,2025-09-13,,,
uytrartzcr.xyz,spam,Community report,community,,2025-09-13,,,
leelvvco.xyz,spam,Community report,community,,2025-09-13,,,
socialmediapower.xyz,spam,Community report,community,,2025-09-13,,,
qzgrjidl.xyz,spam,Community report,community,,2025-09-13,,,
198-244-178-5.xyz,spam,Community report,community,,2025-09-13,,,
mesjowae.xyz,spam,Community report,community,,2025-09-13,,,
wfdostae.xyz,spam,Community report,community,,2025-09-13,,,
divelos.xyz,spam,Community report,community,,2025-09-13,,,
y2lbdslzo.xyz,spam,Community report,community,,2025-09-13,,,
i-technology.xyz,spam,Community report,community,,2025-09-13,,,
anthem-kouryaku.xyz,spam,Community report,community,,2025-09-13,,,
cointerra.xyz,spam,Community report,community,,2025-09-13,,,
onthesissearcha.xyz,spam,Community report,community,,2025-09-13,,,
kakegawa-city.xyz,spam,Community report,community,,2025-09-13,,,
gunsankranma.xyz,spam,Community report,community,,2025-09-13,,,
boryeongkranma.xyz,spam,Community report,community,,2025-09-13,,,
housefilms.xyz,spam,Community report,community,,2025-09-13,,,
aikaow.xyz,spam,Community report,community,,2025-09-13,,,
aimaiw.xyz,spam,Community report,community,,2025-09-13,,,
kvmtu.xyz,spam,Community report,community,,2025-09-13,,,
warthtank.xyz,spam,Community report,community,,2025-09-13,,,
tutorialku18.xyz,spam,Community report,community,,2025-09-13,,,
flipbean.xyz,spam,Community report,community,,2025-09-13,,,
massolit.xyz,spam,Community report,community,,2025-09-13,,,
sentralpariwisata.xyz,spam,Community report,community,,2025-09-13,,,
mp3sisi.xyz,spam,Community report,community,,2025-09-13,,,
traveller-boy.xyz,spam,Community report,community,,2025-09-13,,,
anunciosespectaculares.xyz,spam,Community report,community,,2025-09-13,,,
hznmdl.xyz,spam,Community report,community,,2025-09-13,,,
firdus-agency.xyz,spam,Community report,community,,2025-09-13,,,
kuyish.xyz,spam,Community report,community,,2025-09-13,,,
pottys.xyz,spam,Community report,community,,2025-09-13,,,
leffjq.xyz,spam,Community report,community,,2025-09-13,,,
immediate-connect.xyz,spam,Community report,community,,2025-09-13,,,
xxjy1.xyz,spam,Community report,community,,2025-09-13,,,
mbktbpyb.xyz,spam,Community report,community,,2025-09-13,,,
umzwcfqs.xyz,spam,Community report,community,,2025-09-13,,,
vipnjelv.xyz,spam,Community report,community,,2025-09-13,,,
